120110 -181946 -101313 -84205.2 -95082.3 155579 57563.6 47975.5 -153982 -80262.2 30302.4 -3193.16 -75835.5 20193.1 -92085 -81109 205636 
184375 -279235 -155512 -129253 -145915 238714 88447.1 73666.7 -236325 -123093 46464.2 -4898.36 -116406 31011 -141355 -124458 315523 
239257 -362421 -201810 -167734 -189395 309887 114683 95570.1 -306718 -159858 60352 -6358.69 -151063 40224.9 -183432 -161558 409594 
-126565 191702 106755 88727.1 100177 -163899 -60687.9 -50561.7 162240 84534.9 -31911.5 3363.18 79909.6 -21283.1 97032.9 85450.3 -216636 
-122403 185460 103251 85817.5 96925.6 -158620 -58604.5 -48874 156950 81872.1 -30917.9 3253.92 77287.9 -20569.1 93841.6 82689.5 -209656 
-32702.9 49541.3 27584.6 22927.3 25890.1 -42363.1 -15669.8 -13060.6 41926.5 21859 -8252.13 869.782 20647.6 -5498.02 25072 22084.9 -55995.1 
-149893 227051 126432 105084 118652 -194136 -71853.7 -59874.9 192154 100141 -37806.7 3983.47 94639.3 -25201.6 114919 101212 -256598 
157307 -238235 -132681 -110277 -124490 203657 75473.8 62855.9 -201627 -105010 39635.7 -4179.47 -99314.9 26459.1 -120605 -106182 269185 
333867 -505656 -281604 -234053 -264238 432294 160138 133391 -427949 -222929 84150 -8869.07 -210789 56149.4 -255969 -225384 571388 
-159292 241313 134363 111675 126109 -206353 -76322 -63619.4 204221 106471 -40200.9 4234.1 100576 -26777 122124 107577 -272746 
368565 -558209 -310870 -258378 -291700 477220 176782 147256 -472425 -246096 92895.2 -9791.79 -232696 61985.5 -282571 -248807 630770 
-229934 348246 193941 161192 181980 -297721 -110286 -91866.4 294729 153531 -57955 6108.26 145171 -38669.4 176285 155222 -393515 
-379553 574828 320134 266078 300382 -491410 -182083 -151655 486496 253391 -95646.6 10081.7 239631 -63837.1 290996 256208 -649526 
