-272486 -340882 222964 -61721.9 389552 237267 -224139 643186 -17939.8 51743.4 -350437 
1.99008e+06 2.48408e+06 -1.62583e+06 449175 -2.84111e+06 -1.73425e+06 1.63324e+06 -4.69233e+06 135308 -375027 2.55864e+06 
-169321 -211534 138415 -38269.3 241860 147505 -139090 399402 -11370.5 32002.1 -217718 
727111 908945 -594651 164507 -1.03901e+06 -633316 597627 -1.71568e+06 48398.6 -137726 935032 
626203 781160 -511362 141191 -893649 -545805 513618 -1.47604e+06 42951.4 -117746 805030 
412998 514345 -336859 92877.6 -588769 -360209 338136 -972705 28989.9 -77221.8 530836 
-79447.2 -100125 65351.2 -18220.3 114093 69029.4 -65798.9 188226 -4662.63 15483.6 -102292 
