-298091 -182427 -275185 -114273 -165587 568971 475280 276090 496400 -650624 -166723 
-233106 -142740 -215143 -89438.8 -129595 445117 371746 215819 388312 -509009 -130461 
607144 371642 560446 232818 337360 -1.15904e+06 -968113 -562261 -1.01117e+06 1.32538e+06 339655 
-710974 -435144 -656325 -272583 -394985 1.35713e+06 1.13362e+06 658469 1.18402e+06 -1.5519e+06 -397687 
24488.2 15005 22594.1 9404.15 13625.6 -46781.5 -39061.8 -22662.3 -40806.3 53497.2 13714.5 
-512207 -313540 -472805 -196424 -284624 977827 816743 474331 853079 -1.11817e+06 -286557 
-116309 -71151.6 -107391 -44558.1 -64569.1 221936 185418 107756 193641 -253782 -65022.9 
