-729.282 -507.249 46.0668 -132.016 120.65 -1079.48 -2308.63 -1194.64 1746.23 1690.84 -792.447 407.151 -112.038 503.546 -48.022 2365.74 52.4438 
-4465.86 -3180.09 218.24 -741.796 771.115 -6539.47 -13946.1 -7241.92 10587.1 10226.7 -4752.35 2554.72 -610.139 2925.98 -258.723 14301.2 296.215 
-1875.27 -1335.51 92.1397 -310.625 324.37 -2746.46 -5857.12 -3042.62 4447.6 4294.4 -1996 1073.51 -255.811 1227.51 -107.356 6007.15 123.591 
1714.09 1212.61 -90.8972 291.389 -292.14 2519.41 5376.39 2789.14 -4077.96 -3940.94 1834.77 -973.977 242.823 -1141.06 102.59 -5512.98 -117.088 
-1041.38 -739.952 52.3057 -175.174 179.387 -1527.16 -3260.57 -1691.56 2474.62 2390.72 -1111.14 594.835 -144.602 686.874 -61.9169 3342.59 69.249 
7479.91 5327.83 -366.324 1241.57 -1293.93 10954.8 23359.2 12132.4 -17735.9 -17128.4 7959.09 -4281.62 1019.51 -4899.67 432.1 -23956.5 -497.939 
-5070.36 -3613.26 245.859 -839.878 878.785 -7422.22 -15828 -8220.52 12017.6 11605.8 -5392.98 2903.34 -688.944 3317.12 -291.154 16231.4 336.998 
-2193.55 -1554.04 113.477 -370.425 375.842 -3219.83 -6871.61 -3566.9 5213.9 5038.3 -2344.05 1248.43 -307.268 1454.3 -129.788 7045.53 148.66 
-2450.45 -1747.83 118.615 -403.929 424.483 -3586.2 -7648.16 -3971.91 5807.8 5608.39 -2605.42 1403.91 -331.098 1600.81 -139.971 7844.37 162.529 
436.904 320.097 -13.8188 63.3008 -80.274 632.029 1340.3 698.405 -1021.47 -983.255 453.44 -258.53 49.8634 -266.566 21.5461 -1375.94 -25.8157 
-2159.02 -1544.44 99.7415 -352.377 377.38 -3154.33 -6724.45 -3493.17 5107.84 4930.51 -2287.67 1240.44 -287.868 1398.97 -120.788 6897.21 140.689 
1782.07 1260.92 -93.0263 303.128 -305.017 2616.05 5582.42 2896.39 -4234.75 -4091.98 1904.9 -1013.49 251.288 -1183.16 105.902 -5724.12 -121.823 
-944.786 -665.011 52.5213 -163.242 159.901 -1390.76 -2970.12 -1541.54 2251.45 2178.13 -1014.87 533.039 -136.92 635.962 -58.1396 3046.86 65.9915 
