16891.9 7759.39 -25718.6 -10816.2 -15037.2 8636.15 1675.06 1831.77 -3911.47 993.737 -16329.9 -20202 -10828.6 
-6782.84 -3115.65 10325.6 4342.55 6040.44 -3467.96 -667.987 -731.218 1573.41 -399.457 6557.3 8113.66 4344.22 
19572.9 8989.72 -29797.4 -12531.4 -17428.2 10006.1 1933.93 2113.74 -4536.59 1149.94 -18923.2 -23411.6 -12540.8 
11191.6 5140.64 -17039.3 -7166.05 -9964.08 5722.89 1109.31 1213.79 -2592.65 659.022 -10821.2 -13386 -7173.78 
-5540.6 -2546.39 8436.65 3548.53 4930.49 -2832.92 -553.231 -605.569 1280.22 -326.942 5356.57 6624.3 3557.13 
1496.43 687.734 -2276.44 -957.294 -1331.88 764.759 145.928 158.599 -349.094 87.8406 -1446.05 -1789.44 -955.327 
5077.61 2332.5 -7729.4 -3251.34 -4521.49 2595.05 501.002 546.613 -1177.22 298.916 -4909.16 -6074.1 -3252.72 
-19176.3 -8807.03 29193.8 12278.7 17071.4 -9803.97 -1896.49 -2075.31 4442.66 -1127.68 18539.1 22934.5 12288.6 
2439.88 1120.75 -3710.88 -1561.39 -2172.88 1245.64 238.225 260.943 -567.484 143.057 -2357.3 -2918.41 -1558.55 
4316.16 1982.93 -6570.45 -2763.37 -3842.25 2206.59 429.128 470.615 -998.301 253.46 -4172.5 -5159.77 -2768.11 
-33124.5 -15212.3 50426.3 21207.7 29493.4 -16935.2 -3268.49 -3575.41 7679.22 -1945.65 32023.7 39621.5 21218.1 
