623805 251637 411854 -27108.5 -1.01955e+06 -1.28917e+06 1.02263e+06 47322.4 -670360 740921 -68848.2 -518110 -981638 724034 -710265 365015 -703615 
-444149 -179186 -293444 18947.9 727085 918496 -728971 -33956.1 478118 -528240 49207.6 368748 699815 -515988 506429 -260276 501125 
-471553 -190229 -311169 20805.4 770111 974218 -772636 -35657.6 506396 -559742 51937.8 391737 741647 -547153 536601 -275708 531870 
-15282 -6174.68 -10401.6 109.11 26479.8 32362.2 -26130.6 -1482.63 17430.7 -19050.2 1930.7 12503.8 25154.2 -18297.9 18287.6 -9450.75 17389 
540785 218145 357393 -22855.1 -885383 -1.11839e+06 887599 41339.1 -582118 643209 -59943.2 -448956 -852081 628189 -616595 316970 -610083 
767337 309530 506639 -33303.1 -1.25414e+06 -1.5858e+06 1.25792e+06 58204.1 -824584 911397 -84693.6 -637321 -1.20749e+06 890606 -873673 449012 -865491 
-533238 -215115 -352323 22699 872818 1.10267e+06 -875090 -40731.9 573902 -634121 59067 442721 840074 -619395 607907 -312462 601590 
618268 249410 408119 -27026.2 -1.01023e+06 -1.27759e+06 1.01338e+06 46852.2 -664259 734190 -68186.8 -513552 -972747 717541 -703828 361672 -697372 
-395161 -159409 -261128 16764.4 646897 817193 -648546 -30196.9 425341 -469974 43782.2 328078 622596 -459032 450538 -231583 445814 
345143 139238 227941 -14886.2 -564524 -713502 566123 26280.8 -371207 410199 -38158.2 -286612 -543454 400780 -393248 202095 -389364 
437254 176395 288706 -18982.8 -714850 -903748 716970 33221.4 -470051 519475 -48286.2 -363147 -688245 507617 -498003 255915 -493244 
-675569 -272524 -445981 29448 1.10403e+06 1.39609e+06 -1.10742e+06 -51230.8 725929 -802336 74540.3 561117 1.06303e+06 -784093 769151 -395260 762009 
419467 169213 276947 -18215.6 -685668 -866929 687722 31844.8 -450841 498272 -46313.8 -348379 -660162 486905 -477663 245480 -473150 
