0.323289 0.050041 1.85044
0.322507 0.0577871 2.65839
0.321652 0.0655948 0.265595
0.320704 0.0736632 3.07446
0.319644 0.0823783 2.28298
0.31847 0.0920619 1.89246
0.317208 0.102689 2.70329
0.315896 0.113655 2.31426
0.314564 0.123725 -3.67727
0.313227 0.13184 -0.868355
0.311896 0.138129 2.33874
0.310576 0.143637 2.34425
0.309266 0.149231 2.34984
0.307962 0.155151 1.95556
0.306655 0.161265 2.76188
0.305333 0.167313 2.76793
0.303987 0.172983 1.17321
0.302616 0.178066 3.1789
0.301962 0.182509 2.78314
0.342678 0.186197 1.58664
0.349688 0.188911 1.58936
0.356745 0.190577 1.99104
0.364051 0.191393 1.99187
0.371989 0.191687 2.39237
0.380882 0.19182 0.79212
0.3907 0.19223 3.19314
0.40084 0.193305 2.39404
0.410065 0.194962 1.59551
0.417316 0.19628 2.39705
0.422736 0.195812 -8.006
0.42736 0.19287 2.79368
0.432062 0.188314 1.58894
0.437084 0.183535 1.98419
0.442293 0.179222 1.5799
0.447428 0.175269 1.57597
0.452179 0.171185 -0.428694
0.456334 0.166495 1.96724
0.459844 0.160876 1.16145
0.462598 0.153931 -0.0456712
0.464375 0.145294 -1.25468
0.465101 0.135127 2.73617
0.464979 0.124123 1.925
0.464339 0.112964 1.91386
0.463543 0.102042 2.70317
0.463028 0.0915818 2.29274
0.463183 0.0817043 3.08309
0.463924 0.0724065 1.87343
0.464327 0.0635555 3.46501
0.462948 0.0548956 0.25559
0.459089 0.0462331 2.24756
0.453632 0.0376275 2.239
0.447966 0.0291863 3.03079
0.442781 0.0207368 -0.978616
0.437967 0.0120583 2.61354
0.433034 0.00327218 0.604397
0.427505 -0.0052061 2.59636
0.421061 -0.0130394 2.18856
0.413305 -0.0204078 2.98144
0.403876 -0.0281471 -3.82806
0.39293 -0.0370275 2.16469
0.381176 -0.0470157 0.154143
0.369288 -0.0574428 2.14435
0.357663 -0.0675634 2.13426
0.346526 -0.0768017 2.12506
0.335994 -0.0847851 2.51711
0.326066 -0.0912869 2.51064
0.316604 -0.0963115 4.10605
0.307357 -0.100366 0.901233
0.298124 -0.104369 0.0970617
0.288969 -0.108942 0.492719
0.279995 -0.113833 3.28846
0.271033 -0.118217 2.8841
0.261857 -0.12135 2.88099
0.252593 -0.122829 3.27954
0.243654 -0.122538 3.27986
0.23538 -0.120605 1.28141
