-95022.8 145044 -143051 -20543.4 167054 187188 198699 
-282569 431314 -425386 -61088.9 496764 556639 590867 
252203 -384988 379676 54541.5 -443386 -496799 -527385 
430945 -657812 648758 93179 -757620 -848914 -901140 
-4077.79 6210.03 -6135.88 -871.979 7166.39 8044.29 8518.61 
