-29634.6 -29002.2 -28935.1 -28849.8 -28746 -28627.3 -28488.6 -28328.9 -28146 -27936 -27700.2 -27442.1 -27162.7 -26862.3 -26546.5 -26215.1 -25867 -25499.2 -25096.3 -24655.3 
24285.2 23795.9 23760.2 23710.5 23649.1 23578 23493.7 23393.5 23278.3 23144.3 22991.4 22823.4 22639 22441.1 22229.3 22008.8 21777.3 21531.8 21259.9 20962.1 
-13089 -12931 -13033.8 -13134.9 -13229.6 -13317.8 -13399.5 -13472.3 -13535.9 -13589.7 -13633.2 -13665 -13686.6 -13699 -13701.2 -13695.4 -13680.4 -13652.7 -13608.9 -13547.7 
21273.5 20863.7 20810.1 20742.2 20659.4 20567 20456.7 20330.9 20185.4 20019.4 19831.6 19625.2 19399.9 19160.6 18908.9 18645.8 18371 18078.4 17760.3 17411.8 
-2268.38 -2025.3 -2067.17 -2109.4 -2148.51 -2188.58 -2227.96 -2264.83 -2299.7 -2335.2 -2365.79 -2396.4 -2424.42 -2448 -2470.13 -2488.32 -2504.35 -2515.66 -2522.71 -2524.15 
24475 24254.2 24227.7 24184.9 24128.6 24060.4 23975.2 23871.1 23749.3 23604.7 23436.8 23251.4 23045.9 22826.2 22591.5 22345.1 22088.7 21812.7 21511.5 21179.3 
-36485.2 -35980.8 -35885.5 -35762.4 -35620 -35457.4 -35271.4 -35058 -34818.6 -34547.2 -34246.5 -33918.5 -33564.8 -33187.1 -32789.3 -32374.5 -31943.2 -31485.5 -30990.4 -30453.4 
14165.9 13610.9 13698.3 13784.1 13866.2 13943 14018.9 14089.7 14156.6 14216.7 14273.7 14320.9 14362.8 14397.1 14423 14439.7 14448.7 14445.1 14431.2 14404 
-36256.9 -34842.7 -34722.2 -34581.3 -34422.9 -34251 -34062.6 -33855.5 -33629 -33377.6 -33104.1 -32810.2 -32496.7 -32164.1 -31815.9 -31452.8 -31073 -30671 -30238.3 -29764.1 
39405.8 38579.7 38444.5 38276.7 38082.7 37867.5 37622.4 37346 37037.5 36690.3 36307 35891.5 35443.5 34968.4 34465.9 33941.3 33392.8 32814.9 32190.4 31511.8 
-48616 -47672.7 -47460 -47203.6 -46913.9 -46596.6 -46236.8 -45839.9 -45398.5 -44906.1 -44367.9 -43786.7 -43163 -42499.5 -41802.3 -41075.5 -40319.4 -39519.8 -38662.9 -37736.3 
