704420 292613 -442780 -103800 -382088 605821 -380950 464236 -65141.3 -79517.3 -303056 -355613 518551 
107521 44706.7 -67560.3 -15833.4 -58354.7 92460.1 -58126.9 70887.4 -9972.74 -12135.7 -46259.9 -54250.3 79172.1 
427758 177933 -268830 -62940.1 -231926 368076 -231396 281881 -39776.3 -48317.8 -184064 -216027 314975 
-186821 -77501.5 117446 27569.4 101391 -160578 100995 -123140 17180.9 21074.1 80358.3 94265.4 -137493 
-252963 -105045 158997 37295.1 137274 -217485 136762 -166744 23354.4 28544.5 108822 127647 -186211 
-106144 -43888.2 66761.9 15718.6 57650.1 -91132.1 57353.3 -69969 9632.22 11957.3 45637.2 53522.7 -78063.8 
762497 316715 -479311 -112360 -413536 655805 -412392 502470 -70500.9 -86077.6 -328043 -384980 561286 
412774 171385 -259487 -60850.2 -223891 354964 -223229 272017 -38104.1 -46589.3 -177576 -208386 303825 
-468850 -194594 294720 69157.7 254434 -403045 253473 -309038 43200.9 52896.1 201683 236585 -345089 
-719783 -299168 452410 105996 390331 -619190 389317 -474328 66722.3 81276.1 309692 363446 -529919 
304653 126543 -191503 -44894.6 -165236 262016 -164763 200766 -28168 -34390.1 -131068 -153807 224261 
